"GEO_ID","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Geographic Area Name"
"0400000US01","1895987","17044","59051","4094","189676","6995","274724","8262","330572","10269","301885","9443","117283","5683","264594","9631","53632","4258","56160","4463","135707","6100","76275","4654","36428","3230","Alabama"
"0400000US02","324619","6085","30199","2539","56593","3843","58333","4238","59252","4008","44082","3708","16062","2292","24726","3081","5249","1564","4035","982","12229","2055","8194","1366","5665","1132","Alaska"
"0400000US04","2470950","19955","66596","4488","243712","9612","346279","11386","385741","11478","376165","10948","166696","7564","390622","12433","71040","4285","104917","6383","179809","7445","99719","5684","39654","3891","Arizona"
"0400000US05","1189709","11171","60584","3920","171728","6644","203607","7536","207225","7457","163084","6470","73975","4693","136006","6255","30393","3725","28008","2848","60070","3539","35293","2783","19736","2391","Arkansas"
"0400000US06","15097170","46113","346580","9696","1331209","21450","2102009","27217","2350056","29610","2255417","27504","851250","14984","2224075","24189","385428","11560","590185","12995","1188689","16680","1019773","17158","452499","12081","California"
"0400000US08","2272970","17063","83704","5293","245175","9977","330937","9662","364281","8998","343462","9647","148100","6271","313731","10015","63216","3451","82102","5005","163243","7117","91747","5420","43272","3851","Colorado"
"0400000US09","1640403","11172","49593","3835","173004","6520","252588","8029","266864","8397","251409","8472","105289","4921","213470","7060","42804","3662","55543","3506","107777","5215","79302","5128","42760","3229","Connecticut"
"0400000US10","389282","6832","9033","1251","38341","3570","54818","3627","73779","4743","64811","3763","28183","3029","46702","3221","8318","1386","13561","2083","23536","2179","19095","2012","9105","1601","Delaware"
"0400000US11","281847","5288","4044","1444","9753","1578","21776","2661","36337","3284","48160","3815","20846","2535","58477","3426","11853","1638","16598","1968","28760","2821","19623","2752","5620","1014","District of Columbia"
