Year,State,Total Estimate,Estimate Less than 5 min,Estimate 5 to 9 min,Estimate 10 to 14 min,Estimate 15 to 19 min,Estimate 20 to 24 min,Estimate 25 to 29 min,Estimate 30 to 34 min,Estimate 35 to 39 min,Estimate 40 to 44 min,Estimate 45 to 59 min,Estimate 60 to 89 min,Estimate 90 or more min,Estimate Aggregate Travel Time (min),Worked in State of Residence Estimate Aggregate (min),Worked in County of Residence Estimate Aggregate (min),Worked Outside County of Residence Estimate Aggregate (min),Worked Outside State of Residence Estimate Aggregate (min),Yearly Average Index (NSA),Yearly Average Index (SA),% Travel Less than 5 min,% Travel 5 to 9 min,% Travel 10 to 14 min,% Travel 15 to 19 min,% Travel 20 to 24 min,% Travel 25 to 29 min,% Travel 30 to 34 min,% Travel 35 to 39 min,% Travel 40 to 44 min,% Travel 45 to 59 min,% Travel 60 to 89 min,% Travel More than 90 min,% Working in County of Residence,% Working Outside County of Residence,% Working in State of Residence,% Working Outside State of Residence,% Travel Less than 20 min,% Travel 20 to 39 min,% Travel 40 to 59 min,% Travel 45 to 59 m in
2010,AL,1895987,59051,189676,274724,330572,301885,117283,264594,53632,56160,135707,76275,36428,45734230,42487215,25986650,16500565.0,3247015,180.7875,180.13,0.031145255742787266,0.10004077032173744,0.14489761796889958,0.17435351613697772,0.15922313813333108,0.061858546498472826,0.13955475433112147,0.028287113782953153,0.029620456258402615,0.0715759127040428,0.11180561892038289,0.019213211904933948,0.5682100693506811,0.3607924523928795,0.9290025217435606,0.07099747825643943,0.45043716017040203,0.38892355274587853,0.10119636896244542,0.0715759127040428
2010,AK,324619,30199,56593,58333,59252,44082,16062,24726,5249,4035,12229,8194,5665,6100595,6069265,4973180,1096085.0,31325,219.9,218.8725,0.0930290586811,0.1743366839279278,0.17969681380325858,0.18252782492706834,0.1357961179105351,0.049479543711243024,0.07616929384909694,0.016169725123914496,0.012429956348827395,0.037671855313459776,0.06291375427809216,0.017451227438936106,0.8151958948266521,0.17966854052760428,0.9948644353542564,0.005134745053556252,0.6295903813393547,0.2776146805947896,0.05010181166228717,0.037671855313459776
2010,AZ,2470950,66596,243712,346279,385741,376165,166696,390622,71040,104917,179809,99719,39654,60533900,58957890,53765435,5192455.0,1576015,183.15,182.755,0.02695157732855784,0.09863089095287238,0.1401400271150772,0.15611040288148284,0.15223497035553127,0.06746231206620935,0.15808575649041867,0.028750075881745888,0.04246018737732451,0.07276917784657723,0.11312572087658593,0.016048078674194135,0.8881871975868068,0.08577763864545321,0.9739648362322599,0.02603524636608578,0.42183289827799025,0.4065331147939052,0.11522936522390174,0.07276917784657723
2010,AR,1189709,60584,171728,203607,207225,163084,73975,136006,30393,28008,60070,35293,19736,25178550,23519785,14298840,9220950.0,1658765,178.3125,178.0825,0.050923377061113266,0.1443445413962574,0.17114016957087827,0.17418124936434035,0.1370788991257526,0.06217907068030922,0.11431871155047159,0.02554658324010325,0.023541891336452864,0.05049133863827205,0.0801565761039044,0.0165889305704168,0.5678976748065317,0.3662224393382462,0.9341199155630487,0.0658800844369513,0.5405893373925893,0.33912326459663666,0.07403322997472492,0.05049133863827205
2010,CA,15097170,346580,1331209,2102009,2350056,2255417,851250,2224075,385428,590185,1188689,1019773,452499,405422285,402553330,285220410,117332920.0,2868955,164.785,163.9675,0.022956620346727234,0.08817606213614869,0.1392319885117542,0.15566202142520752,0.14939336312699664,0.05638473965650516,0.14731734490636325,0.02552981784003227,0.03909242593148252,0.0787358822878725,0.14628317757566484,0.029972438543117683,0.7035143862405097,0.2894091527307138,0.9929235389712235,0.007076461028776453,0.40602669241983763,0.37862526552989734,0.11782830821935501,0.0787358822878725
2010,CO,2272970,83704,245175,330937,364281,343462,148100,313731,63216,82102,163243,91747,43272,54754485,53353650,26406350,26947305.0,1400835,257.5525,256.305,0.03682582700167622,0.10786547996673955,0.14559673026920725,0.16026652353528642,0.15110714175726034,0.06515704122799686,0.13802689872721594,0.02781206967095914,0.03612102227482105,0.0718192497041316,0.11218361878951329,0.01903764677932397,0.4822682561985562,0.49214790350050774,0.9744160683823435,0.025583931617656527,0.45055456077290945,0.38210315138343226,0.10794027197895265,0.0718192497041316
2010,CT,1640403,49593,173004,252588,266864,251409,105289,213470,42804,55543,107777,79302,42760,40485455,34906395,22993150,11913245.0,5579055,168.16750000000002,167.5925,0.03023220513495769,0.10546432797306515,0.15397923559027873,0.16268197510002116,0.1532605097649785,0.06418483750639324,0.13013265642650007,0.026093587978076118,0.03385936260784697,0.06570153797572914,0.1140445366169167,0.026066765300965678,0.5679360649398655,0.2942598767878489,0.8621959417277143,0.1378039347711419,0.4523577437983227,0.37367159167594793,0.09956090058357611,0.06570153797572914
2010,DE,389282,9033,38341,54818,73779,64811,28183,46702,8318,13561,23536,19095,9105,9465400,7134290,6176025,958265.0,2331105,186.8425,186.2525,0.02320425809567357,0.0984915819380295,0.14081822432067242,0.18952584501723685,0.1664885609917746,0.07239738801177553,0.11996958503090305,0.021367543323349142,0.034835928709778516,0.06046002640759141,0.1095118705719761,0.023389213988830718,0.6524843112810869,0.10123872208253216,0.7537230333636191,0.2462764383966869,0.45203990937161237,0.3802230773578023,0.09529595511736992,0.06046002640759141
2010,DC,281847,4044,9753,21776,36337,48160,20846,58477,11853,16598,28760,19623,5620,8299135,5407350,5407350,,2891785,316.16499999999996,313.6825,0.014348210199150602,0.03460388082896039,0.07726177677960028,0.12892455835967742,0.17087284945378167,0.07396211419670956,0.20747781597817255,0.042054731822584596,0.05889010704389261,0.10204117836982476,0.1716640588688189,0.019939896468651432,0.6515558549174101,,0.6515558549174101,0.3484441450825899,0.2551384261673887,0.49436751145124835,0.16093128541371737,0.10204117836982476
2010,FL,7503144,162168,614492,1014213,1185897,1223902,498924,1209574,236393,276595,594732,344334,141920,191245090,187060330,134546505,52513820.0,4184760,177.7925,177.4325,0.02161333968800279,0.08189793505229274,0.13517173600826535,0.1580533440381792,0.16311855403548167,0.06649532515969306,0.16120895453959033,0.03150585941040183,0.0368638799948395,0.07926437237510035,0.12515633446459246,0.018914737608661115,0.7035291991025756,0.2745891149414607,0.9781183401884984,0.021881659811501565,0.3967363547867401,0.42232869314516686,0.11612825236993986,0.07926437237510035
2010,GA,3919135,100172,318675,511515,626222,582943,234873,557962,119593,146216,362891,258797,99276,105845395,101065285,42840040,58225240.0,4780115,159.9375,159.4025,0.025559721724309065,0.08131258555778252,0.13051732078634698,0.15978576905363046,0.14874277104514133,0.0599298059393208,0.14236866043144725,0.030515151940415423,0.0373082325564187,0.09259466693543346,0.15862888111789974,0.025331099847287732,0.40474165172703075,0.5500970542931981,0.9548387532589396,0.04516129397977116,0.397175397122069,0.3815563893563248,0.12990289949185216,0.09259466693543346
2010,HI,623637,14948,61691,84012,88062,89805,29084,121148,14374,21646,53674,34791,10402,15899725,15820315,15719560,100750.0,79415,177.02,177.015,0.023969071751676056,0.09892132763129834,0.13471298207130109,0.14120714454081462,0.1440020396480645,0.0466361040156373,0.19426044317447488,0.023048664527601796,0.03470929402841717,0.08606609293547368,0.14185335379395386,0.01667957481676039,0.9886686719424392,0.006336587582489634,0.9950055739957766,0.004994740475071109,0.3988105259950901,0.4079472513657785,0.12077538696389085,0.08606609293547368
2010,ID,629635,39981,101310,119399,102945,79962,31927,70361,9480,14211,29221,19322,11516,12814390,11719905,8102105,3617795.0,1094485,200.9175,199.7125,0.06349869368761267,0.16090274524129058,0.1896320884321869,0.16349948779848641,0.12699738737522534,0.05070715573308345,0.11174887037728208,0.015056342166493287,0.022570219254012244,0.04640942768429328,0.07709704828988223,0.018289961644444797,0.6322661476668027,0.2823228417427595,0.9145893795959074,0.08541062040409259,0.5775330151595766,0.30450975565208416,0.06897964693830552,0.04640942768429328
2010,IL,5543452,163202,547295,715664,739579,720792,305610,783112,163480,259704,545956,445194,153864,154641390,146930675,93215370,53715305.0,7710720,175.97,175.3725,0.02944050025146786,0.09872819319081323,0.12910078413234208,0.13341488300070065,0.1300258394949573,0.055129908223251506,0.14126793196730125,0.029490649508645515,0.04684878664052652,0.0984866469485079,0.17879653327926354,0.02775599031073057,0.6027840929262211,0.34735399752938073,0.9501380904556018,0.04986194187726843,0.3906843605753238,0.35591432919415555,0.14533543358903442,0.0984866469485079
2010,IN,2751580,105422,333253,431546,445659,418286,185133,331163,69784,91401,180295,110377,49261,63897200,56725725,31187600,25538125.0,7171475,156.985,156.3125,0.038313260017880636,0.12111332398113084,0.15683570893813736,0.16196476206397778,0.15201665951925802,0.06728243409241236,0.12035376038494247,0.02536142870641595,0.03321764222737482,0.06552417156688158,0.10563821513457722,0.017902804933892527,0.4880902449559605,0.39967518138509983,0.8877654263410604,0.11223457365893967,0.4782270550011266,0.3650142827030288,0.0987418137942564,0.06552417156688158
2010,IA,1440541,99995,252471,276408,241009,199701,80776,124094,28618,28694,53997,32289,22489,27488735,25182460,15457860,9724600.0,2306270,194.1825,192.9625,0.06941489343239797,0.17526123865964247,0.1918779125342493,0.16730450573777492,0.13862916779182266,0.056073377987853175,0.0861440250572528,0.01986614750985914,0.01991890546676561,0.03748383419840185,0.05989832986357209,0.01561149595880992,0.5623343525993466,0.3537667339002686,0.9161010864996152,0.08389873160769311,0.6038585503640647,0.30071271834678776,0.057402739665167464,0.03748383419840185
2010,KS,1299028,84701,212815,241969,227957,195964,74228,124356,21832,26885,46616,23733,17972,24842820,21726715,14698790,7027925.0,3116105,191.6875,191.1125,0.06520336744088658,0.16382633784645134,0.18626927210191005,0.1754827455605268,0.15085433108447238,0.05714118556335968,0.09573003815160258,0.016806412178952262,0.020696243652946665,0.035885292695769455,0.054155106741348144,0.013834959677543517,0.5916715574157845,0.28289562135055524,0.8745671787663397,0.12543282123366026,0.5907817229497747,0.32053196697838693,0.05658153634871612,0.035885292695769455
2010,KY,1737455,67761,200658,278874,303758,281553,111579,215481,42311,47205,99463,56587,32225,39263570,34918840,19789740,15129100.0,4344730,185.665,186.04250000000002,0.039000146766391075,0.11548960980284381,0.16050717860318683,0.17482927615391478,0.16204908904115503,0.06421979274283363,0.12402105378268789,0.024352285382930782,0.027169048982563577,0.0572463747262519,0.08981527579131546,0.018547242950177126,0.504022940349031,0.3853215588903403,0.8893444992393712,0.11065550076062874,0.4898262113263365,0.3746422209496073,0.08441542370881548,0.0572463747262519
2010,LA,1890069,63303,206840,309225,322603,289894,98802,240774,37778,47272,125575,93109,54894,46901760,44598885,23668630,20930255.0,2302875,228.2225,227.2225,0.033492428054213895,0.1094351581873466,0.1636051382251124,0.17068318669847504,0.15337746928815826,0.052274282050020396,0.1273890000841239,0.019987630081229838,0.02501072712160244,0.06643937337737406,0.11570159607929657,0.029043384130420635,0.5046426829185088,0.44625734727225586,0.9509000301907647,0.049099969809235304,0.47721591116514794,0.3530283815035324,0.09145010049897649,0.06643937337737406
2010,ME,595242,32193,80564,94323,87360,85958,34315,68199,14979,21171,36574,26323,13283,13865555,12774320,8341865,4432455.0,1091230,200.8175,201.32999999999998,0.05408388520971302,0.13534663212609324,0.15846160049190078,0.14676383722922778,0.14440849268028802,0.05764882182372884,0.11457356839739131,0.02516455492051972,0.035567046680173776,0.061443916927904955,0.1056662668292896,0.022315293611673906,0.6016250341223269,0.31967382481263823,0.9212988589349651,0.07870078045920267,0.4946559550569348,0.3417954378219279,0.09701096360807873,0.061443916927904955
2010,MD,2725311,48534,180472,267030,332456,364211,168999,406029,99361,143671,319218,283604,111726,86725320,61720715,29846280,31874435.0,25004605,208.98250000000002,207.345,0.017808609732980932,0.06622069921561245,0.09798147807718091,0.12198827950277968,0.13364016070092552,0.06201090444356626,0.14898446452533307,0.03645859133141135,0.05271728621063798,0.11713085222200328,0.22119383806105064,0.040995688198521195,0.34414724557949167,0.3675332071418128,0.7116804527213044,0.2883195472786955,0.30399906652855396,0.3810941210012362,0.16984813843264127,0.11713085222200328
2010,MA,3018114,88242,276862,411368,393394,417022,182513,414157,95240,143195,283568,235028,77525,83281335,78384440,39931620,38452820.0,4896895,214.1,213.06,0.029237464191213453,0.09173344678166563,0.1362996891436175,0.13034431436320829,0.1381730444906985,0.06047253350933729,0.13722377617280196,0.03155613074920298,0.04744519259378539,0.09395536417776135,0.17182783685440642,0.02568657115006259,0.47947862507247274,0.46172194525940297,0.9412005703318757,0.05879942966812431,0.38761491447970486,0.3674254849220407,0.14140055677154673,0.09395536417776135
2010,MI,3901063,139033,420182,591108,624949,605292,276278,498347,117017,128863,267876,163585,68533,93277680,89983080,49502055,40481025.0,3294600,144.25,143.375,0.035639773056728385,0.10770961658399263,0.15152485361041337,0.16019966865441548,0.1551607856627796,0.07082120950110264,0.127746462951252,0.029996183091634255,0.03303279131867391,0.06866743756765784,0.11060087981147702,0.017567775757530702,0.5306956069233283,0.43398404634420584,0.9646796532675341,0.0353203467324659,0.45507391190554985,0.3837246412067685,0.10170022888633175,0.06866743756765784
2010,MN,2506192,108711,318664,385323,389611,370120,173241,311318,70495,91463,157662,86586,42998,57500660,55228730,26124615,29104120.0,2271925,207.83999999999997,207.0325,0.043376963935723996,0.12715067321258705,0.15374839597285445,0.155459358261458,0.14768222067583012,0.06912519072760587,0.12421953306051571,0.028128331747926734,0.036494809655445395,0.06290898702094652,0.09745781648014198,0.017156706269910685,0.4543359154486227,0.5061527989417861,0.9604886274348851,0.039511285609591267,0.4797353913826235,0.36915527621187844,0.09940379667639192,0.06290898702094652
2010,MS,1130530,48556,137477,172916,184797,171110,67136,145186,25376,30117,70856,50515,26488,26962705,22988305,11950845,11037460.0,3974400,175.4625,176.10750000000002,0.04294976692347837,0.12160402643008146,0.15295127064297276,0.16346050082704572,0.15135378981539632,0.05938453645635233,0.12842295206672977,0.02244610934694347,0.026639717654551406,0.06267502852644335,0.10735761103199384,0.023429718804454547,0.44323612931269324,0.40936026262943576,0.852596391942129,0.14740360805787106,0.48096556482357833,0.3616073876854219,0.08931474618099476,0.06267502852644335
2010,MO,2593734,108855,309976,400577,421725,386524,169522,338409,75969,88242,161435,87416,45084,59683020,54252075,28308845,25943230.0,5430940,183.14,182.3075,0.041968451660810244,0.11950955649268584,0.15444027799304014,0.16259377407243766,0.14902222047442026,0.06535828269205708,0.13047174459678595,0.029289433689036734,0.034021221914043616,0.06224038394068166,0.09594314605892508,0.017381890355757375,0.47431991544663793,0.43468360012613305,0.9090035155727709,0.09099640065130753,0.47851206021897386,0.37414168145230003,0.09626160585472528,0.06224038394068166
2010,MT,429792,34446,87366,90449,74268,48504,17168,33489,5660,4629,12325,10883,10605,8001775,7622205,6157845,1464360.0,379570,290.1925,288.65500000000003,0.08014574491847219,0.20327507259325442,0.21044830988012805,0.17279986598168418,0.1128545901273174,0.03994490358126722,0.07791908644181371,0.013169160896433624,0.010770326111235202,0.028676662199389472,0.05399821308912218,0.024674726379271834,0.7695598789018686,0.18300439589965975,0.9525642748015284,0.04743572519847159,0.6666689933735388,0.24388774104683195,0.039446988310624674,0.028676662199389472
2010,NE,881634,59898,150885,160266,161166,137013,50973,79141,12910,14465,27100,17761,10056,16190840,15265145,9959040,5306105.0,925695,190.715,189.9525,0.06793975731425966,0.17114244686570618,0.1817829167205439,0.18280374849427314,0.15540802645995958,0.05781650889144475,0.08976627489411707,0.014643264665382688,0.01640703511888153,0.03073837896451362,0.05088392689029688,0.011406093685134648,0.6151033547363818,0.32772265058514566,0.9428260053215275,0.05717399467847252,0.6036688693947828,0.31763407491090406,0.04714541408339515,0.03073837896451362
2010,NV,1140289,33037,104835,157202,189713,231763,80405,175272,28462,33401,53824,29153,23222,26527415,25534615,23992270,1542345.0,992795,129.6525,128.8975,0.0289724797836338,0.09193721942419861,0.13786154211783153,0.1663727353328849,0.20324935169943759,0.07051282613442733,0.15370840199282815,0.024960339001779373,0.02929169710485675,0.047202068949187444,0.0727683946788928,0.02036501272922917,0.9044330176913205,0.05814154903521508,0.9625745667265355,0.03742524478921146,0.42514397665854886,0.4524309188284724,0.07649376605404419,0.047202068949187444
2010,NH,628326,27035,64246,91460,90956,87927,38533,78130,22640,24756,46675,39270,16698,16288980,11856035,7331345,4524690.0,4432945,195.2075,195.4375,0.04302702737114173,0.10224946922457451,0.14556138055722667,0.14475924917956604,0.139938503261046,0.06132644518928072,0.12434627884251169,0.036032250774279594,0.0393999293360453,0.07428468661172703,0.13678408978778533,0.026575376476542432,0.45008005412248037,0.27777614067915857,0.7278561948016389,0.2721438051983611,0.4355971263325089,0.36164347806711805,0.11368461594777234,0.07428468661172703
2010,NJ,3908947,94795,320403,486954,509453,530039,218452,537739,106527,176661,366510,383304,178110,118453200,87090695,39200215,47890485.0,31362505,215.32,215.47,0.024250776487887916,0.08196657565323859,0.12457421397629592,0.13032998400848106,0.1355963639312582,0.055885127119912344,0.13756620389071533,0.02725209628066075,0.045194012607487385,0.09376182383644495,0.19181994537147729,0.04556470067258522,0.33093420017357067,0.40429878635613054,0.7352329443189378,0.26476705568106224,0.36112155012590347,0.3562997912225466,0.13895583644393233,0.09376182383644495
2010,NM,816107,31612,101818,138984,155069,123035,39565,101134,12391,21019,47461,27068,16951,18143105,16940940,12814250,4126690.0,1202165,214.67000000000002,213.77,0.038735116841296546,0.12476060124468973,0.1703011982497393,0.1900106236069535,0.150758417707482,0.04848016252770777,0.12392247585181845,0.015183058103900592,0.025755201217487412,0.05815536443137971,0.09132258392588227,0.020770560723042446,0.7062875952049001,0.22745224701064123,0.9337398422155414,0.06626015778445861,0.523807539942679,0.3383441141909088,0.08391056564886712,0.05815536443137971
2010,NY,8376454,225185,673090,953026,1015218,1066352,444600,1181694,236041,397613,855438,938328,389869,261890505,250112140,118038995,132073145.0,11778370,203.2775,202.325,0.02688309396792485,0.08035500463561311,0.11377439665997091,0.1211990181047971,0.12730351053082845,0.05307735230206004,0.14107329903560623,0.028179107770424094,0.04746793810364147,0.10212412077950885,0.2141438369983289,0.046543441890804865,0.45071887963253954,0.5043067330753362,0.9550256127078758,0.04497440638407261,0.34221151336830596,0.34963326963891883,0.1495920588831503,0.10212412077950885
2010,NC,3953050,123471,388266,614404,688977,657589,260479,530576,113951,116710,251452,140524,66651,92511045,87940460,51829505,36110955.0,4570585,182.42249999999999,181.8125,0.031234363339699724,0.0982193496161192,0.15542530451170616,0.17428997862410037,0.1663497805491962,0.0658931710957362,0.13421940020996445,0.02882609630538445,0.02952403840072855,0.06360961788998368,0.09915786544566853,0.01686065190169616,0.5602520758467273,0.39034209374675205,0.9505941695934793,0.04940583040652065,0.4591689960916255,0.3952884481602813,0.09313365629071224,0.06360961788998368
2010,ND,341292,31315,79183,80882,59649,33913,9350,18011,3343,4019,9774,6963,4890,5508985,5157945,3792030,1365915.0,351040,219.015,218.4875,0.09175427493173001,0.23200954021776074,0.23698768210212956,0.17477409373791358,0.09936652485261888,0.027395895596732417,0.052772992042005085,0.009795131441698019,0.011775840043130223,0.02863823353609226,0.04904011813930593,0.014327906894975564,0.6883355100803505,0.24794313290016218,0.9362786429805128,0.06372135701948725,0.7355255909895339,0.1893305439330544,0.040414073579222484,0.02863823353609226
2010,OH,4890587,181814,543481,749315,800047,811576,368609,612763,138164,163089,282778,162444,76507,111678395,106359220,61166210,45193010.0,5319175,153.27,152.41750000000002,0.03717631441788072,0.11112796889207778,0.15321575917164953,0.1635891560665417,0.1659465417954941,0.07537111598260086,0.12529436650447073,0.028251005451901786,0.03334753067474314,0.05782087099155991,0.0910365156575274,0.01564372538511226,0.5476995796725052,0.4046710198512434,0.9523705995237485,0.04762940047625147,0.46510919854814975,0.39486302973446746,0.09116840166630304,0.05782087099155991
2010,OK,1585032,74458,237505,261820,285567,240231,90650,188922,31270,36666,70588,41648,25707,32985035,31274820,19258495,12016325.0,1710220,192.365,191.2525,0.04697570774596349,0.14984240065815707,0.16518278495323754,0.1801648168617416,0.15156223975288827,0.0571912743717477,0.11919128446618113,0.019728308324374524,0.023132655996850538,0.04453411666136709,0.07080992686582983,0.01621860000302833,0.5838555272110519,0.36429626344189114,0.9481517906529431,0.051848360930949446,0.5421657102190997,0.3476731069151916,0.06766677265821762,0.04453411666136709
2010,OR,1557482,71528,198641,255341,252473,233283,99559,190441,38992,47422,88960,55040,25802,34685755,33341265,21573205,11768060.0,1344490,263.29,262.325,0.045925410373924065,0.12753983673647593,0.16394475184945959,0.16210331804797745,0.14978214836511755,0.06392305015403067,0.12227492837798447,0.025035281306621842,0.03044786392394904,0.05711783506968299,0.09245692727106959,0.016566483593389844,0.6219615228211121,0.3392764551326618,0.9612379779537739,0.03876202204622618,0.499513317007837,0.3610154082037545,0.08756569899363204,0.05711783506968299
2010,PA,5510956,194656,585370,790546,828186,798637,331938,687792,163856,214217,447111,317425,151222,142551720,126836165,77063060,49773100.0,15715555,186.3075,185.565,0.03532163929452531,0.10621932020506061,0.14344988419432128,0.15027991513632116,0.1449180505160992,0.060232380733941625,0.12480448038416565,0.029732772317543454,0.038871114195068876,0.08113129555017315,0.13873019490629213,0.027440248116660702,0.5405971951794057,0.34915818623584477,0.8897554164902395,0.11024458350976053,0.43527075883022837,0.35968768395174994,0.12000240974524203,0.08113129555017315
2010,RI,464080,16573,54565,81581,74987,68959,29728,53888,12293,16828,26697,19268,8713,10647960,7915490,4926680,2988815.0,2732470,183.33749999999998,183.235,0.035711515255990346,0.11757671091191174,0.17579081192897777,0.1615820548181348,0.14859291501465263,0.06405792104809516,0.11611791070505086,0.026488967419410446,0.036260989484571626,0.05752671953111532,0.09904542320289605,0.018774780210308567,0.4626876885337661,0.28069367277863555,0.7433808917388871,0.25661910826111295,0.49066109291501464,0.3552577141872091,0.09378770901568695,0.05752671953111532
2010,SC,1875723,49790,195147,288824,322583,312897,122879,261847,46726,52182,119765,70179,32904,44135345,40473240,24859520,15613725.0,3662105,181.415,180.945,0.026544431134021388,0.10403828283813761,0.15398009194321335,0.17197795196838767,0.16681407649210464,0.06551020593125957,0.13959790438140388,0.02491092767962007,0.027819672734193696,0.06385004608889479,0.10126441910665913,0.01754203579099899,0.5632565011103913,0.35376918431248244,0.9170255721349861,0.08297442786501386,0.45654075788376003,0.3968331144843881,0.09166971882308848,0.06385004608889479
2010,SD,382654,34901,80756,75360,69285,47606,17164,26531,3464,5493,10615,6231,5248,6432260,6033830,4092855,1940975.0,398430,220.3875,219.86,0.09120772290371981,0.21104182891071308,0.19694031683975602,0.18106435578878047,0.12441004144736498,0.04485514328871513,0.06933417656682016,0.00905256445770853,0.014355004782388266,0.027740465276725187,0.04402410532752826,0.013714739686505302,0.636301237823098,0.30175630338325876,0.9380575412063568,0.06194245879364329,0.6802542244429693,0.2476519257606088,0.04209547005911345,0.027740465276725187
2010,TN,2585963,72125,250848,385811,430883,423951,176358,363872,71421,79632,195961,91419,43682,62188885,58108155,34783125,23325035.0,4080730,183.17000000000002,182.525,0.027890963637144075,0.09700370809636487,0.1491943233526543,0.16662380706916533,0.1639431809349167,0.06819819154411721,0.14071044326620297,0.027618724629857427,0.03079394407421916,0.07577873310639015,0.1111307470369839,0.016891966358374037,0.5593141764802505,0.3750675864344569,0.9343816825144879,0.06561831748551208,0.4407128021553286,0.40047054037509433,0.10657267718060931,0.07577873310639015
