"B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","GEO_ID","NAME"
"Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","id","Geographic Area Name"
"48529065","752870","45076645","737679","28103640","534461","16973005","551290","3452420","254242","0400000US01","Alabama"
"6558400","235880","6482560","234011","5202180","166398","1280375","158607","75840","27957","0400000US02","Alaska"
"73987970","716753","72144380","682460","66848970","665468","5295410","410452","1843585","184875","0400000US04","Arizona"
"26645190","448994","25088735","450875","15260550","370035","9828185","329762","1556455","165167","0400000US05","Arkansas"
"512692140","2043214","509559085","2076722","357406310","1747864","152152770","1820041","3133055","289361","0400000US06","California"
"68444670","733663","66811195","729673","32616985","432417","34194210","610523","1633475","225808","0400000US08","Colorado"
"44596120","554561","36837220","502673","24913115","424075","11924110","347304","7758900","389896","0400000US09","Connecticut"
"10811665","280533","7972715","191560","6649925","197162","1322790","148107","2838950","252052","0400000US10","Delaware"
"10723700","298975","7222635","226667","7222635","226667","-","**","3501070","213968","0400000US11","District of Columbia"
"244403460","1507377","239397850","1493424","171874985","1167468","67522865","1136056","5005605","391595","0400000US12","Florida"
"129675685","1244870","124565885","1236089","53421950","755961","71143935","1086426","5109800","321264","0400000US13","Georgia"
"18177550","338513","18093855","342692","17988620","341992","105235","49970","83695","28728","0400000US15","Hawaii"
"15362010","365858","13647725","321168","9234040","245245","4413685","235996","1714290","219081","0400000US16","Idaho"
"169529645","1216376","161102300","1104584","104222035","1001190","56880265","752079","8427345","384255","0400000US17","Illinois"
"70727645","729205","63585880","679091","34258085","495027","29327795","535598","7141765","325564","0400000US18","Indiana"
"29439720","432591","27147540","402688","16633750","300339","10513790","284843","2292185","157760","0400000US19","Iowa"
"26097150","328822","22898940","307093","15153265","222531","7745675","276552","3198210","197417","0400000US20","Kansas"
"43615645","485079","39034990","502628","21660965","399939","17374025","417554","4580655","247030","0400000US21","Kentucky"
"48954365","801805","46634260","772701","25300425","478194","21333835","622870","2320105","307042","0400000US22","Louisiana"
"14863630","328561","13494280","298334","8615280","219900","4879000","255322","1369350","164312","0400000US23","Maine"
"97097840","769825","70986385","686816","35007605","497888","35978775","659008","26111455","734468","0400000US24","Maryland"
"99649360","969199","93680605","895873","48400710","576376","45279895","903868","5968755","349197","0400000US25","Massachusetts"
"106261775","847681","103113860","774584","55925325","570720","47188535","638814","3147920","203782","0400000US26","Michigan"
"65045020","571294","62626215","561592","29721405","427233","32904810","552366","2418805","191529","0400000US27","Minnesota"
"29585530","607745","24847195","507981","12901590","339136","11945610","439106","4738335","391603","0400000US28","Mississippi"
"64965700","787862","58631795","739680","31108485","575255","27523315","568743","6333905","272068","0400000US29","Missouri"
"8601610","274757","8252670","275998","6851110","249577","1401560","117583","348940","85397","0400000US30","Montana"
"17588615","314582","16680135","282871","11057475","228953","5622660","198964","908480","126038","0400000US31","Nebraska"
"32486955","460654","31320850","424291","29372220","416246","1948630","188955","1166105","199528","0400000US32","Nevada"
"18252015","367479","12940020","302688","7797025","210634","5142995","254521","5311995","313861","0400000US33","New Hampshire"
"134987200","1141097","97246175","1065711","44415450","657409","52830725","877825","37741025","881586","0400000US34","New Jersey"
"18304855","390402","17132605","381812","13141370","384809","3991235","212770","1172250","136911","0400000US35","New Mexico"
"303961285","1665492","291759885","1689476","136698465","1196931","155061420","1618963","12201400","519602","0400000US36","New York"
"111653370","1144284","105813530","1095557","60993590","668783","44819940","988943","5839845","407646","0400000US37","North Carolina"
"6384635","156079","6059590","149070","4426670","120150","1632920","142569","325045","61742","0400000US38","North Dakota"
"123498455","988614","117685825","909966","66899870","701969","50785960","753951","5812625","318937","0400000US39","Ohio"
