state,yr,qtr,index_nsa,index_sa,Warning
AK,1991,1,100.00,100.00,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,2,101.01,100.25,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,3,102.03,101.23,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,4,102.42,102.27,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,1,102.80,102.74,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,2,104.30,103.53,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,3,105.09,104.24,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,4,104.39,104.35,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,1,104.77,104.60,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,2,107.18,106.37,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,3,108.34,107.50,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,4,110.44,110.50,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,1,111.17,110.89,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,2,111.99,111.08,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,3,112.91,112.14,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,4,111.22,111.30,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,1,114.50,114.18,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,2,116.30,115.25,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,3,117.71,116.97,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,4,117.49,117.58,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,1,120.59,120.31,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,2,121.43,120.23,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,3,120.42,119.68,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,4,123.10,123.20,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,1,122.40,122.27,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,2,125.05,123.71,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,3,125.20,124.33,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,4,125.95,126.09,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,1,126.07,126.15,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,2,129.48,127.97,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,3,130.07,129.05,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,4,130.85,130.98,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,1,131.89,132.21,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,2,134.17,132.54,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,3,134.88,133.60,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,4,131.29,131.52,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,1,132.83,133.28,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,2,136.70,135.05,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,3,138.07,136.57,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,4,136.76,137.07,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,1,139.78,140.28,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,2,144.80,143.14,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,3,146.71,144.99,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,4,148.68,149.04,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,1,148.90,149.41,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,2,153.73,152.05,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,3,158.11,156.24,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,4,157.17,157.46,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,1,160.05,160.63,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,2,164.97,163.23,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,3,167.49,165.46,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,4,170.98,171.29,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,1,174.94,175.64,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,2,179.14,177.18,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,3,185.68,183.46,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,4,187.74,188.01,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,1,192.19,193.19,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,2,199.90,197.46,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,3,206.74,204.37,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,4,207.79,208.06,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2006,1,211.41,212.66,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2006,2,218.92,216.04,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2006,3,220.61,218.21,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
