"GEO_ID","B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","NAME"
"id","Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","Geographic Area Name"
"0400000US01","45529580","557484","42267060","563931","25799680","449480","16467380","539626","3262520","232569","Alabama"
"0400000US02","6102335","190362","6029100","185449","4942105","144230","1086995","162949","73235","38220","Alaska"
"0400000US04","62003585","755866","60276950","732970","55432650","705345","4844300","424955","1726630","263750","Arizona"
"0400000US05","25049090","475099","23409980","443918","14037870","290635","9372110","329776","1639110","167617","Arkansas"
"0400000US06","412264010","2042858","409307720","2033921","290047135","1840038","119260580","1515726","2956295","270768","California"
"0400000US08","56935645","819937","55140955","779908","27144285","499567","27996670","640174","1794690","304126","Colorado"
"0400000US09","40941190","550692","34973325","493977","23206080","474151","11767245","343369","5967860","346373","Connecticut"
"0400000US10","10119765","314516","7118815","213900","5994445","176806","1124370","138699","3000950","275415","Delaware"
"0400000US11","8792680","220916","6009265","204883","6009265","204883","-","**","2783420","171092","District of Columbia"
"0400000US12","196381895","1693471","192592545","1736841","138249815","1145192","54342730","1134158","3789350","371944","Florida"
"0400000US13","107396250","1343327","102407040","1201062","43200015","761230","59207030","1170335","4989210","409464","Georgia"
"0400000US15","15938345","336695","15772950","341145","15596195","342844","176755","68332","165395","50560","Hawaii"
"0400000US16","12411545","335154","10973835","280825","7547410","189542","3426425","230267","1437710","181499","Idaho"
"0400000US17","157246715","1237451","149477300","1157900","95253020","876008","54224275","817399","7769415","384819","Illinois"
"0400000US18","65525925","680414","58660140","638545","32136130","417649","26524005","481410","6865790","293766","Indiana"
"0400000US19","27087135","369016","24997830","371232","15398505","266998","9599330","295696","2089305","107159","Iowa"
"0400000US20","24944845","414657","21801260","412571","14555720","326909","7245540","268628","3143585","205318","Kansas"
"0400000US21","40212100","510744","35627825","478170","19912020","361114","15715805","474766","4584275","286791","Kentucky"
"0400000US22","46636275","623714","44347875","626084","23994640","413773","20353235","504318","2288400","244364","Louisiana"
"0400000US23","13970580","299839","12724055","281128","8316625","206224","4407430","200736","1246525","157108","Maine"
"0400000US24","88226425","845576","63037895","701396","30619340","472498","32418555","615391","25188530","687254","Maryland"
"0400000US25","85988415","838686","80644865","752479","40494095","434807","40150770","646515","5343545","291119","Massachusetts"
"0400000US26","95244195","835296","91944075","799621","50519300","583665","41424775","595921","3300120","225977","Michigan"
"0400000US27","58523660","511302","56128710","501133","26390235","346770","29738475","477966","2394950","156257","Minnesota"
"0400000US28","27139005","511394","23037425","451529","11739125","343839","11298300","420504","4101575","354323","Mississippi"
"0400000US29","59795890","745385","54120420","676774","28418015","415226","25702405","607967","5675470","284317","Missouri"
"0400000US30","8064570","269401","7781350","257965","6183740","197623","1597610","154182","283220","76056","Montana"
"0400000US31","16038830","338332","15224355","309347","9943705","197968","5280650","236864","814480","120265","Nebraska"
"0400000US32","27928120","520291","26753120","477064","24567615","441803","2185510","227541","1174995","168991","Nevada"
"0400000US33","16979425","390206","11959205","307506","7113235","202065","4845970","287229","5020220","272438","New Hampshire"
"0400000US34","119210040","916490","87105740","746094","39061575","556119","48044165","740746","32104300","814598","New Jersey"
