"B08131_001E","B08131_001M","B08131_002E","B08131_002M","B08131_003E","B08131_003M","B08131_004E","B08131_004M","B08131_005E","B08131_005M","GEO_ID","NAME"
"Estimate!!Aggregate travel time to work (in minutes)","Margin of Error!!Aggregate travel time to work (in minutes)","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked in county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked in State of residence!!Worked outside county of residence","Estimate!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","Margin of Error!!Aggregate travel time to work (in minutes)!!Worked outside State of residence","id","Geographic Area Name"
"46849325","588346","43160455","578675","27081955","366985","16078505","474645","3688870","271096","0400000US01","Alabama"
"6568880","259157","6521435","258842","5045085","157277","1476350","204633","47445","37588","0400000US02","Alaska"
"64542815","637887","62961245","611823","57552895","609565","5408355","311382","1581570","175103","0400000US04","Arizona"
"25475310","408233","24008470","386685","14532260","261601","9476215","335855","1466835","167837","0400000US05","Arkansas"
"442307285","2039714","438861285","2043242","310341460","1648826","128519825","1446313","3446000","305995","0400000US06","California"
"59015455","732122","57539175","718352","28534475","511135","29004700","567896","1476280","226755","0400000US08","Colorado"
"42288645","499853","35701535","432461","24356100","367768","11345435","360647","6587105","331246","0400000US09","Connecticut"
"10358940","294071","7793705","259872","6597525","245921","1196180","161630","2565235","231092","0400000US10","Delaware"
"9451190","253609","6351990","210413","6351990","210413","-","**","3099200","205558","0400000US11","District of Columbia"
"207165295","1413298","202942240","1386888","146896310","1062789","56045930","1217979","4223055","388988","0400000US12","Florida"
"110117295","1201253","105354665","1123464","45244870","711294","60109795","989666","4762630","358308","0400000US13","Georgia"
"17234195","358234","17145455","353101","17026350","350153","119105","36949","88735","31453","0400000US15","Hawaii"
"13245620","292612","11904265","290966","8446995","229286","3457270","220953","1341355","144392","0400000US16","Idaho"
"160449565","1020583","152335855","973097","97357805","775016","54978055","809100","8113710","313842","0400000US17","Illinois"
