"GEO_ID","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Geographic Area Name"
"0400000US01","1902148","17596","55656","4026","192622","9668","291613","8698","323855","9876","299421","8840","113676","5814","272544","8811","47778","3845","55743","4255","136717","6869","78880","4920","33643","2809","Alabama"
"0400000US02","331902","5866","26917","2494","57110","3473","62277","3749","64205","5559","51326","4126","14893","2300","25472","2697","3986","1188","3443","1143","7774","1408","9627","2047","4872","1134","Alaska"
"0400000US04","2504382","18865","66417","5144","241162","9260","353006","13712","380976","12989","383029","11147","173539","9095","391310","14205","81439","6208","100213","7135","182813","9908","102958","8575","47520","4525","Arizona"
"0400000US05","1175268","11745","64090","4403","168322","7571","211666","8270","197818","8078","164970","7664","62103","5606","131814","6297","25183","2790","28154","2660","62911","4498","36948","3990","21289","2586","Arkansas"
"0400000US06","15189715","39684","341379","10296","1307349","20852","2079217","24014","2372041","32694","2222264","23561","843937","18336","2301629","27389","375394","11336","598483","15870","1217343","19132","1059989","17187","470690","15135","California"
"0400000US08","2322794","13842","83242","5316","245839","7482","336203","11554","381134","11178","353415","8484","147999","6560","321880","10375","58378","4810","84103","5271","156155","7084","104730","7154","49716","4296","Colorado"
"0400000US09","1638653","10927","49754","4657","167252","6768","245271","8833","264077","10287","258630","8666","106974","6184","207429","8081","43771","3439","59978","3912","109697","5417","81536","4413","44284","3990","Connecticut"
"0400000US10","400040","6068","10010","1666","36901","3188","56959","3912","69508","4410","71239","4183","23581","2569","47557","3611","9346","1878","13428","1705","28200","3220","22927","2511","10384","1731","Delaware"
"0400000US11","292101","5492","3662","869","13787","2232","20858","2377","34525","2576","45295","3179","21828","2548","63793","4082","11308","1854","16546","2203","33659","2755","20368","2245","6472","1292","District of Columbia"
"0400000US12","7623767","34639","157293","8121","596193","15704","983359","23006","1192341","21539","1269153","26600","527659","14872","1248760","19604","231623","11935","308330","11066","617742","16756","347781","12598","143533","8421","Florida"
