"B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","id","Geographic Area Name"
"1947966","14926","50688","4091","181551","8643","284878","8900","325339","9998","305660","8438","130718","6162","290935","10486","53685","4102","56730","4302","149762","6892","83480","5161","34540","3260","0400000US01","Alabama"
"346980","5415","26950","1864","60959","3576","68381","4284","64398","3617","51094","3063","15563","2596","23620","2704","4173","1149","5580","1564","9641","1345","9710","1035","6911","1364","0400000US02","Alaska"
"2740046","18153","69539","4132","267312","10028","364314","9928","425639","11532","430443","10348","198237","7551","399111","11075","80628","4715","112007","5367","214878","8781","127863","6532","50075","3962","0400000US04","Arizona"
"1214918","11919","59164","3801","168778","7554","214394","7232","206649","7264","175476","6880","63758","4556","136914","6738","22561","2592","30462","2995","68522","4159","43068","3256","25172","2782","0400000US05","Arkansas"
"16663807","46995","300341","10358","1302247","20354","2078416","25857","2514140","29539","2411123","30183","975048","17937","2514753","28124","431268","10138","702273","14102","1463338","20130","1335836","17401","635024","14988","0400000US06","California"
"2545464","17944","73447","4889","245566","8159","340907","9071","407663","9124","393424","10252","175209","6934","345632","9248","77840","4152","96957","5752","202947","5853","132789","5497","53083","3710","0400000US08","Colorado"
"1688242","12089","40494","3404","162289","6404","248347","7890","268013","8554","256969","7310","108624","4864","215769","8294","49819","3650","63412","4568","119757","6606","97671","5300","57078","3357","0400000US09","Connecticut"
"420305","6516","9111","1360","36911","3167","62692","4276","68105","4586","72459","4040","28069","2799","55668","3872","8451","1578","14408","2006","30366","3135","21983","2743","12082","2001","0400000US10","Delaware"
"336621","4813","4645","1347","14107","1939","25834","2559","39346","3786","53919","3780","24702","2390","67939","4436","17632","2199","20134","2415","40750","3166","21720","2731","5893","1378","0400000US11","District of Columbia"
"8386795","35312","142995","6085","610328","15558","1005068","19638","1282463","22313","1377747","21697","543951","14273","1419995","21450","263601","10688","333313","9702","744054","16130","471383","13293","191897","7226","0400000US12","Florida"
"4323275","20090","98835","6559","332772","11834","546563","13972","668777","13860","631447","14495","265759","9209","629055","13932","138094","6822","163882","8254","404634","11697","316906","10255","126551","7960","0400000US13","Georgia"
"672298","6844","14944","2127","60801","4094","84325","4809","97436","4485","94411","5370","32216","3107","113143","5025","16585","2256","27824","2637","60766","4179","52888","3497","16959","1866","0400000US15","Hawaii"
"689674","8385","40439","3402","111229","6157","125184","6107","116274","5610","97244","5214","38925","3786","63534","4383","12118","2043","17124","2545","36175","3447","20585","2789","10843","1771","0400000US16","Idaho"
"5826394","24198","156545","6955","540715","10439","703477","11818","767737","13371","744225","13410","352600","8671","786406","13409","191970","7300","288354","7971","600910","10744","515251","10150","178204","7333","0400000US17","Illinois"
